GEO_ID,GEOID,NAME,S1401_C01_001E
0500000US12001,12001,"Alachua County, Florida",94728
0500000US12003,12003,"Baker County, Florida",6839
0500000US12005,12005,"Bay County, Florida",39194
0500000US12007,12007,"Bradford County, Florida",5755
0500000US12009,12009,"Brevard County, Florida",124300
0500000US12011,12011,"Broward County, Florida",467669
0500000US12013,12013,"Calhoun County, Florida",2933
0500000US12015,12015,"Charlotte County, Florida",23233
0500000US12017,12017,"Citrus County, Florida",23501
0500000US12019,12019,"Clay County, Florida",55612
0500000US12021,12021,"Collier County, Florida",65962
0500000US12023,12023,"Columbia County, Florida",14449
0500000US12027,12027,"DeSoto County, Florida",6074
0500000US12029,12029,"Dixie County, Florida",3080
0500000US12031,12031,"Duval County, Florida",230867
0500000US12033,12033,"Escambia County, Florida",72902
0500000US12035,12035,"Flagler County, Florida",21548
0500000US12037,12037,"Franklin County, Florida",1872
0500000US12039,12039,"Gadsden County, Florida",9946
0500000US12041,12041,"Gilchrist County, Florida",3721
0500000US12043,12043,"Glades County, Florida",1842
0500000US12045,12045,"Gulf County, Florida",2677
0500000US12047,12047,"Hamilton County, Florida",2659
0500000US12049,12049,"Hardee County, Florida",6253
0500000US12051,12051,"Hendry County, Florida",9870
0500000US12053,12053,"Hernando County, Florida",36642
0500000US12055,12055,"Highlands County, Florida",16681
0500000US12057,12057,"Hillsborough County, Florida",361352
0500000US12059,12059,"Holmes County, Florida",3931
0500000US12061,12061,"Indian River County, Florida",28711
0500000US12063,12063,"Jackson County, Florida",9434
0500000US12065,12065,"Jefferson County, Florida",2813
0500000US12067,12067,"Lafayette County, Florida",1921
0500000US12069,12069,"Lake County, Florida",74749
0500000US12071,12071,"Lee County, Florida",142157
0500000US12073,12073,"Leon County, Florida",99742
0500000US12075,12075,"Levy County, Florida",8414
0500000US12077,12077,"Liberty County, Florida",1769
0500000US12079,12079,"Madison County, Florida",3239
0500000US12081,12081,"Manatee County, Florida",73623
0500000US12083,12083,"Marion County, Florida",69847
0500000US12085,12085,"Martin County, Florida",28400
0500000US12086,12086,"Miami-Dade County, Florida",650940
0500000US12087,12087,"Monroe County, Florida",13024
0500000US12089,12089,"Nassau County, Florida",17389
0500000US12091,12091,"Okaloosa County, Florida",48306
0500000US12093,12093,"Okeechobee County, Florida",7957
0500000US12095,12095,"Orange County, Florida",374387
0500000US12097,12097,"Osceola County, Florida",97837
0500000US12099,12099,"Palm Beach County, Florida",320183
0500000US12101,12101,"Pasco County, Florida",117692
0500000US12103,12103,"Pinellas County, Florida",182318
0500000US12105,12105,"Polk County, Florida",160673
0500000US12107,12107,"Putnam County, Florida",14870
0500000US12109,12109,"St. Johns County, Florida",62719
0500000US12111,12111,"St. Lucie County, Florida",69082
0500000US12113,12113,"Santa Rosa County, Florida",42744
0500000US12115,12115,"Sarasota County, Florida",65708
0500000US12117,12117,"Seminole County, Florida",117089
0500000US12119,12119,"Sumter County, Florida",9229
0500000US12121,12121,"Suwannee County, Florida",9061
0500000US12123,12123,"Taylor County, Florida",4480
0500000US12125,12125,"Union County, Florida",2891
0500000US12127,12127,"Volusia County, Florida",110608
0500000US12129,12129,"Wakulla County, Florida",7131
0500000US12131,12131,"Walton County, Florida",14423
0500000US12133,12133,"Washington County, Florida",4678